,name,country,event,date_of_violation,substance,sanction,references,flagged
1642,Yohan Blake, Jamaica,Sprinting,2009,4-Methyl-2-hexanamine,3 months,[37][63],1
1643,José Luis Blanco, Spain,Middle distance,2010,EPO,2 years,[180],1
1644,Zhanna Block, Ukraine,Sprinting,2002,BALCO scandal,2 years,[13][79][153],1
1645,Lyudmyla Blonska, Ukraine,"Heptathlon, long jump",20032008,Stanozolol Methyltestosterone,2 years  Life ban,[181][182][3][183],1
1646,Petr Bogatyrev, Russia,Race walking,2011,Biological passport anomalies,2 years,[47][145],1
1647,Ato Boldon, Trinidad and Tobago,Sprinting,2001,Ephedrine,Public warning,[74],1
1648,Scott Boothby, United States,Hammer throw,2006,"Finasteride, 6-oxo-androstenedione",4 years (Reduced from 8 years),[184][185][186],1
1649,Valeriy Borchin, Russia,Race walking,20052009,Ephedrine  Biological passport anomalies,1 year  8 years,[187][108][109],1
1650,Béranger-Aymard Bossé, Central African Republic,Sprinting,2016,Prednisolone,2 years,[16][17],1
1651,Mihaela Botezan, Romania,Long distance,2007,Chlortalidone,2 years,[3][188][189],1
1652,Chakir Boujattaoui, Morocco,Long-distance,2010,MIRCERA,2 years,[32][190],1
1653,Brahim Boulami, Morocco,Steeplechace,2002,EPO,2 years,[191],1
1654,Larbi Bouraada, Algeria,Decathlon,2012,Stanozolol,2 years,[30],1
1655,Abderrahime Bouramdane, Morocco,Marathon,2011,Biological passport,2 years,[142][143][192],1
1656,Zahra Bouras, Algeria,Middle-distance,2012,Stanozolol,2 years,[30],1
1657,Sofiya Bozhanova, Bulgaria,Long/Triple jump,1994,Amphetamine,4 years,[193],1
1658,Kevin Braunskill, United States,Sprinting,1994,Stanozolol,4 years,[194],1
1659,Grit Breuer, Germany,Sprinting,1992,Clenbuterol,2 years,[195],1
1660,Okkert Brits, South Africa,Pole vault,2003,Ephedrine,Public warning,[182][196],1
1661,Damien Broothaerts, Belgium,Hurdling,2011,"Methylhexanamine, 3 whereabouts failures",1 year (Reduced from 2 years),[10][197],1
1662,Alicia Brown, Canada,Sprinting,2013,Hydrochlorothiazide,2 years,[69][198][199],1
1663,Erik de Bruin, Netherlands,"Discus throw, shot put",1993,"Testosterone, Stanozolol, hCG",4 years,[200],1
1664,Ricky Bruch, Sweden,Discus throw,1960's/1970's,Anabolic steroids (self-admitted),—,[201] (in Swedish),1
1665,Yelyzaveta Bryzhina, Ukraine,Sprinting,2013,Drostanolone,2 years,[13][30][76],1
1666,Aleksandr Bulanov, Russia,Shot put,2009,Methandienone,2 years,[36][37],1
1667,Viktor Burayev, Russia,Race walking,2008,EPO,2 years,[3][202],1
1668,Tamara Bykova, Soviet Union,High jump,1990,Ephedrine,3 months,[203][204],1
1669,Yolanda Caballero, Colombia,Long distance,20112014,Biological passportTampering,4 years,[16][17],1
1670,Gary Cadogan, Great Britain,"Sprinting, hurdling",1998,Nandrolone,2 years,[205],1
1671,Dorina Calenic, Romania,Long distance,1987,,,[1][2][206],1
1672,Mehmet Çağlayan, Turkey,Long distance,2010,EPO,2 years,[32][112],1
1673,Jillian Camarena-Williams, United States,Shot put,2013,Clomiphene,6 months,[207][208],1
1674,John Capel, United States,Sprinting,2004  2006,CannabisCannabis,Public warning2 years,[209][210],1
1675,Dean Capobianco, Australia,Sprinting,1996,Stanazolol,2 years (Reduced from 4 years),[211],1
1676,Hector Carrasquillo, Puerto Rico,Sprinting,2011,Anabolic steroid,2 years,[10][212],1
1677,LaMark Carter, United States,Triple jump,2004,Salbutamol,Public warning,[186][213][214],1
1678,Silviu Casandra, Romania,Race walking,2002,,2 years,[215][216],1
1679,Arnaud Casquette, Mauritius,Long jump,2005,Cannabis,6 months,[66][217],1
1680,Víctor Castillo, Venezuela,Long jump,20062011,FurosemideMethylhexaneamine,2 years4 years,[218][21][34],1
1681,Recep Çelik, Turkey,Race walking,2012,Metenolone,2 years,[79][219],1
1682,Jolanda Čeplak, Slovenia,Middle distance,2007,EPO,2 years,[3][220][221],1
1683,Dwain Chambers, Great Britain,Sprinting,2003,"THG, Testosterone, EPO, HGH, Insulin, Modafinil & Liothyronine",2 years,[13][182][222][223],1
1684,Hafid Chani, Morocco,Long distance,2011,Biological passport,4 years,[69][70],1
1685,Jamel Chatbi, Morocco,Steeplechase,2009,Clenbuterol,3 years,[13][36][37][224],1
1686,Jani Chathurangani Silva, Sri Lanka,Sprinting,2006,Nandrolone,2 years,[3][36][225],1
1687,David Chaussinand, France,Hammer throw,23 May 2002  24 June 2002,Metenolone  Clenbuterol,3 years,[226],1
1688,Mouhcine Cheaouri, Morocco,Pole vault,2016,Stanozolol,4 years,[122][227],1
1689,Emily Chebet, Kenya,"Long distance, cross country",2015,Furosemide,4 years,[56][159][228][229],1
1690,Cristiana Checchi, Italy,Shot put,2003,Caffeine,Public warning,[230][231],1
1691,Viktor Chegin, Russia,Coach,,"Administration of a prohibited substance, complicity",Life ban,[17][232],1
1692,Abdelatif Chemlal, Morocco,Steeplechase,2004,Norandrosterone,2 years,[19][233][234],1
1693,Flomena Chepchirchir, Kenya,Marathon,2014,,6 months,[167],1
1694,Pamela Chepchumba, Kenya,Cross country running,2003,EPO,2 years,[230][235][236],1
1695,Susan Chepkemei, Kenya,Long distance,2007,Salbutamol,1 year,[3][18][237],1
1696,Svetlana Cherkasova, Russia,Middle distance,2007,Fraudulent substitution of urine,33 months,[13][37][238][239][240],1
1697,Lada Chernova, Russia,Javelin throw,2008 2013,Metenolone  Bromantane,2 years  Life ban,[37][219][241][242][243][244],1
1698,Tatyana Chernova, Russia,Heptathlon,2009,Oral Turinabol,2 years,[245][246],1
1699,Lydia Cheromei, Kenya,Long distance,2005,Clomiphene,2 years,[247],1
1700,Damu Cherry, United States,Hurdling,2003,Norandrosterone,2 years,[182][248],1
1701,Silvano Chesani, Italy,High jump,2007,Formoterol,Public warning,[3][249],1
1702,Christophe Cheval, France,Sprinting,2001,Nandrolone,2 years,[13][250],1
1703,Dimitrios Chondrokoukis, Greece,High jump,2012,Stanozolol,2 years,[251][252][253],1
1704,Fouad Chouki, France,Middle distance,2003,EPO,2 years,[13][182][254],1
1705,Khalid Choukoud, Netherlands,Long distance,2007,Stanozolol,2 years,[3][255][256],1
1706,Linford Christie, Great Britain,Sprinting,1999,Nandrolone,2 years,[257],1
1707,Vivian Chukwuemeka, Nigeria,Shot put and discus,2009  2012,Oxymetholone  Stanozolol,2 years  Life ban,[92][119][258],1
1708,Clement Chukwu, Nigeria,Sprinting,1992,,4 years,[259][260],1
1709,Yelena Churakova, Russia,Hurdling,2013,Methandienone & Dehydrochloromethyltestosterone,2 years,[119][173][261],1
1710,Hazel Clark, United States,Middle distance,2001,Pseudoephedrine,Public warning,[262],1
1711,Venolyn Clarke, Canada,Sprinting,2001,Stanozolol,4 years,[13][263][264],1
1712,Ramon Clay, United States,Sprinting,2000–2004,Steroids and hormones (BALCO scandal),2 years,[13][32][265][266],1
1713,Luis Collazo, Puerto Rico,Long distance,2011,Exogenous steroids,2 years,[79][110],1
1714,Michelle Collins, United States,Sprinting,2002–2004,"THG, EPO (BALCO scandal)",4 years (Reduced from 8 years),[45][267][268],1
1715,Rosa Colorado, Spain,Hurdling,1980,Steroids,18 months,[1][2][13][269][270],1
1716,Hannah Cooper, Liberia,Sprinting,1999,,,[13],1
1717,Harold Connolly, United States,Hammer throw,1960's,Self-admitted; Anabolic steroids,–,[271][272],1
1718,Jessica Cosby, United States,Hammer throw,2009,"Hydrochlorothiazide, chlorothiazide",4 months,[32][273][274],1
1719,Nuno da Costa, Portugal,Cross country running,2011,EPO,2 years,[10][79][275],1
1720,Daniela Costian, Romania,Discus throw,1986,,,.[1][276],1
1721,Julie Coulaud, France,Middle/Long distance,2008,Testosterone,3 years,[3][36][277],1
1722,Crystal Cox, United States,Sprinting,2002  2001–2004,Ephedrine (positive test) Anabolic steroids (self admitted),Public warning  4-year ban,[216][262][32][45][278][279],1
1723,Shawn Crawford, United States,Sprinting,2012,3 whereabouts failures,2 years,[30][173][280][281],1
1724,Olga Cristea, Moldova,Middle-distance,2010,Testosterone,2 years,[32][190][282],1
1725,Peter Dajia, Canada,Shot put,1983– 1986,"Self admittance in 1989: Steroids Positive test: Steroids, Testosterone",18 months,[2][283][284],1
1726,Martina Danišová-Hrasnová, Slovakia,Hammer throw,2003,Nandrolone,2 years,[285][286],1
1727,Bonnie Dasse, United States,Shot put,1992,Clenbuterol,4 years,[287],1
1728,Marie Davenport  (Marie McMahon), Ireland,Long distance,1996,Phenylpropanolamine,Reprimand,[288][289][290],1
1729,Walter Davis, United States,Triple jump,2013,3 whereabouts failures,1 year,[30][35],1
1730,Alice Decaux, France,Hurdling,2013,β-Methylphenethylamine,6 months,[76][291][292],1
1731,Mary Decker (Mary Slaney), United States,Middle distance,1996,Testosterone,,[45][293],1
1732,Tony Dees, United States,Hurdling,2001,"Norandrosterone, Noretiochdandone",Life ban,[262],1
1733,Hind Dehiba, France,Middle distance,2007,EPO,2 years,[294],1
1734,Tatyana Dektyareva, Russia,Hurdling,2014,Ostarine,2 years,[101][295][296],1
1735,Dimitrios Delifotis, Greece,Long jump,1984,,,[1][2],1
1736,Luis Delís, Cuba,Discus throw/shot put,1990,,,[297],1
1737,Tezeta Dengersa, Turkey,Middle/Long distance,2005,Metenolone,2 years,[66],1
1738,Frédéric Denis, France,Steeplechase,2007,EPO,2 years,[79],1
1739,Sébastien Denis, France,Hurdling,2005,Ephedrine,Public warning,[66],1
1740,Lyubov Denisova, Russia,Marathon,2007,"Prostanozol, testosterone",2 years,[298],1
1741,Manuela Derr, Germany,Sprinting,1992,Clenbuterol,3 years,[299],1
1742,Ronald Desruelles, Belgium,Long jump,1980,,,[1][300],1
1743,Hrysopiyi Devetzi, Greece,Triple/Long jump,2009  2007 (Retest 2015),Failure to submit to doping controlStanozolol,2 years 4 years,[10][79][301][94][95],1
1744,Vadim Devyatovskiy, Belarus,Hammer throw,2000,Nandrolone,2 years,[102][302],1
1745,Aïssa Dghoughi, Morocco,Long distance,2006,Refusal to submit to doping control,3 years,[19][303][304],1
1746,Ahmed Mohamed Dheeb, Qatar,Discus throw,2010,Testosterone metabolites,,[10][305],1
1747,Alberico Di Cecco, Italy,Marathon,2008,EPO,2 years,[36][37][306],1
1748,Rostislav Dimitrov, Bulgaria,Triple jump,1999,Ephedrine,,[45][307],1
1749,Svetla Dimitrova, Bulgaria,Heptathlon,1989,Sydnocarb,2 years,[308],1
1750,Katalin Divós, Hungary,Hammer throw,2001,,2 years,[309],1
1751,Vukosava Đjapić, Serbia and Montenegro,Sprinting,2005,Metenolone,2 years,[19][310],1
1752,Abderahmane Djemadi, Algeria,Long distance,2001,Refusal to submit to doping control,2 years,[311],1
1753,Gábor Dobos, Hungary,Sprinting,2000  2006," Drostanolone, testosterone",2 years  Life ban,[312][313],1
1754,Jim Doehring, United States,Shot put,1990,Steroids,2 years,[314],1
1755,Bahar Doğan, Turkey,Long distance,2011,Biological passport,2 years and 6 months,[159][315],1
1756,Bishop Dolegiewicz, Canada,"Shot put, discus throw",1973–1985,Self admittance (The Dubin Inquiry): Steroids,National record annulled,[316][317][318],1
1757,Marta Dominguez, Spain,Middle distance,2009,Biological passport,3 years,[159][319],1
1758,Tetyana Dorovskikh (Tatyana Samolenko), Ukraine,Middle distance,1993,Unknown substance,,[320],1
1759,Rashid Shafi Al-Dosari, Qatar,Discus throw,2003,Refused to submit to doping control,2 years,[321][322],1
1760,Troy Douglas, Netherlands,Sprinting,1999,Nandrolone,2 years,[323][324],1
1761,Horace Dove-Edwin, Sierra Leone,Sprinting,1994,Stanozolol,2 years,[325],1
1762,Hanna Drabenia, Belarus,Race walking,2015,Trimetazidine,2 years,[17][109],1
1763,Rasa Drazdauskaitė, Lithuania,Long distance,2003,Stanozolol,2 years,[321][326],1
1764,Heike Drechsler, East Germany,Long jump/sprinting,1980's,Self admittance,—,[327],1
1765,Hamza Driouch, Qatar,Middle distance,2012,Biological passport anomalies,2 years,[328][329],1
1766,Jon Drummond, United States,Coach,2012/2013,"Possession, trafficking and administration of prohibited substances",8 years,[330][331],1
1767,Oleksandr Dryhol, Ukraine,Hammer throw,2013,Dehydrochloromethyltestosterone,2 years,[34][76],1
1768,Aliona Dubitskaya, Belarus,Shot put,2014,Oxilofrine,6 months,[167][332],1
1769,Aleksandra Duliba, Belarus,Marathon,2013,Biological passport,2 years,[55][56],1
1770,Corina Dumbrăvean, Romania,Middle distance,20072010,Refusal to submit to testing,2 years  Life ban,[333][334],1
1771,Julien Dunkley, Jamaica,Sprinting,2008,Boldenone,2 years,[3][36][335],1
1772,Debbie Dunn, United States,Sprinting,2012,Testosterone,2 years,[219][336],1
1773,Lyudmila Dzhigalova, Ukraine,Sprinting,1993,Steroids,4 years,[337],1
1774,Monzavous Edwards, United States,Sprinting,2004,Cannabis,Public warning,[338],1
1775,Mark Edwards, Great Britain,,,"Clostebol, Testosterone",,[79],1
1776,Paul Edwards, Great Britain,Shot put,19931997,"Anabolic steroids, raised testosterone and pseudoephedrineTetrahydrocannabinol",4 yearsLife ban,[339][340],1
1777,Torri Edwards, United States,Sprinting,2004,Nikethamide,15 months (Reduced from 2 years),[341][342][343],1
1778,Daniel Effiong, Nigeria,Sprinting,1995,Methyltestosterone and ephedrine,4 years,[344][345],1
1779,Inna Eftimova, Bulgaria,Sprinting,2011 {Retested 2012),Recombinant Human Growth hormone,2 years,[13][30][153][346],1
1780,Florence Ekpo-Umoh, Germany,Sprinting,2003,Stanozolol,2 years,[230][321][347],1
1781,Christy Ekpukhon, Nigeria,Sprinting,2008,Metenolone,2 years,[3][36][45][348],1
1782,Abderrahim El Asri, Morocco,Cross country running,2014,EPO,2 years,[34][175],1
1783,Wafa Ismail El Baghdadi, Egypt,Shot put,2007,Methandienone,2 years,[36][349],1
1784,Hayat El Ghazi, Morocco,Hammer throw,2006,Norandrosterone,2 years,[350],1
1785,Mohamed El Hachimi, Morocco,Long distance,20122014,MethylhexaneamineCERA,6 months6 years,[79][80][34][70],1
1786,Fouad Elkaam (Fouad El Kaam), Morocco,Middle distance,2011,Methylhexaneamine,6 months,[10][351],1
1787,Saïda El Mehdi, Morocco,Middle distance,2009,Stanozolol,2 years,[36][37][352],1
1788,Rkia El Moukim, Morocco,Long distance,2011,Biological passport,2 years,[56][353],1
1789,Najim El Qady, Morocco,Long distance,2011,Biological passport,2 years,[17][88],1
1790,Stanislav Emelyanov, Russia,Race walking,2010,Biological passport,2 years,[13][172][354],1
1791,Alene Emere, Ethiopia,Long distance,2002,Nandrolone,2 years,[355],1
1792,Ivan Emilianov, Moldova,Shot put,2011,"Metenolone, Stanozolol",2 years,[10][79],1
1793,Meryem Erdogan, Turkey,Long distance,2010,Biological passport,2 years,[79],1
1794,Mostafa Errebbah, Italy,Long distance,2004,Stanozolol,2 years,[19][356],1
1795,Wilson Loyanae Erupe, Kenya,Long distance,2012,EPO,2 years,[357],1
1796,Fatih Eryildirim, Turkey,Hammer throw,2013,"Stanozolol, Dehydrochloromethyltestosterone",2 years and 6 months,[358][359],1
1797,Nilay Esen, Turkey,Long distance,2005,Metenolone,2 years,[19][360][361],1
1798,Alisher Eshbekov, Russia,Hammer throw,,Anabolic steroid,,[362],1
1799,Ridouane Es-Saadi, Belgium,Middle/Long distance,20042006,"Trafficking, use, possessionMethandienone",6 months Life ban,[19][363],1
1800,Latifa Essarokh, France,Middle distance,2006,Stanozolol,2 years,[364][365],1
1801,Lee Evans, United States,Coach,2013,,4 years,[366][367][368],1
1802,Davidson Ezinwa, Nigeria,Sprinting,1996 1999,Ephedrine hCG,3 months 2 years,[13][369],1
1803,Osmond Ezinwa, Nigeria,Sprinting,1996,Ephedrine,3 months,[369],1
1804,Hamid Ezzine, Morocco,Steeplechase,2009,"Refusal to submit to doping control, Tampering with test",2 years,[37][370][371],1
1805,Martin Fagan, Ireland,"Marathon, half-marathon",2011,EPO,2 years,[79][372][373],1
1806,Ahmed Faiz, Saudi Arabia,Long jump,2010,Amphetamines,2 years,[32][374],1
1807,Sandra Farmer-Patrick, United States,Hurdling,1996,Testosterone,,[13][375],1
1808,Róbert Fazekas, Hungary,Discus throw,20042012,Failing to provide urine sampleStanozolol,2 years 6 years,[34][73][219],1
1809,Surita Febbraio, South Africa,Hurdling,2005,Testosterone,2 years,[376],1
1810,Agustín Félix, Spain,Decathlon,2011,Drostanolone,2 years,[173],1
1811,Paquillo Fernández, Spain,Race walk,2010,Possession of undisclosed banned substances,2 years,[32][110][377],1
1812,Ricardo Fernández, Spain,Middle/Long distance,20042006,EPOFinasteride,2 years 2 years,[19][378][379],1
1813,Elena Fidatov, Romania,Middle/Long distance,1998,Nandrolone,2 years,[380],1
1814,Nicolas Figère, France,Hammer throw,2007,Cathine,"1 month, public warning",[3][381],1
1815,Konstadinos Filippidis, Greece,Pole vault,2007,Etilephrine,2 years,[382],1
1816,Yuliya Fomenko, Russia,Middle distance,2007,Fraudulent substitution of urine,33 months,[13][37][45][156][238][239],1
1817,Greg Foster, United States,Hurdling,1990,"Pseudoephedrine, Ephedrine, Phenylpropanolamine",6 months,[383],1
1818,Allodin Fothergill, Jamaica,Sprinting,2009,4-Methyl-2-hexanamine,3 months,[37][63],1
1819,Cecilia Francis, Nigeria,Sprinting,2013,Metenolone,1 year,[15][47],1
1820,Shelly-Ann Fraser, Jamaica,Sprinting,2010,Oxycodone,6 months,[32][384],1
1821,Brian Frasure, United States,Sprinting,2000,Nandrolone,4 years,[385],1
1822,Jake Freeman, United States,Hammer throw,20092011,CannabisCannabis,Public warning1 year,[37][386][387],1
1823,Margarita Fuentes-Pila, Spain,Middle distance,2015,,6 months,[88],1
1824,Ruth Fuchs, East Germany,Javelin throw,1970's,Anabolic steroids (self-admitted),—,[388],1
1825,Chryste Gaines, United States,Sprinting,20032005,Modafinil (positive test)THG (investigation: BALCO),Public warning2 years,[98][321],1
1826,Anton Galkin, Russia,Sprinting,2004,Stanozolol,2 years,[19][389],1
1827,Miguel Ángel Gamonal, Spain,Half marathon,20132015,ClenbuterolBiological passport,2 years3 years,[34][47][142][159],1
1828,Alberto García, Spain,"Long distance, cross country",2003,EPO,2 years,[390],1
1829,Sandra Gasser,  Switzerland,Middle distance,1987,Steroids,2 years,[13][391],1
1830,Justin Gatlin, United States,Sprinting,2001  2006,Amphetamine  Testosterone,1 year (Reduced from 2 years)  4 years,[3][392][393][394][395],1
1831,Tyson Gay, United States,Sprinting,2013 2012–2013,Positive test: Exogenous anabolic-androgenic steroid Investigation/Admittance,1 year,[175][396][397],1
1832,Tibor Gécsek, Hungary,Hammer throw,1995,Anabolic steroids,2 years (Reduced from 4 years),[398],1
1833,Ines Geipel, East Germany,Sprinting,1980's,Turinabol (self-admitted),—,[399],1
1834,Shitaye Gemechu, Ethiopia,Long distance,2009,EPO,2 years,[400],1
1835,Ivan Gertlein, Russia,Pole vault,2012,Testosterone,2 years,[76][401],1
1836,Nordine Gezzar, France,Middle/Long distance,20062012,"Finasteride, nandroloneEPO",2 years10 years,[402][403][219],1
1837,Rachid Ghanmouni, Morocco,Long distance,2006,Evading doping control,2 years,[3][36][404],1
1838,Ruqaya Al-Ghasra, Bahrain,Sprinting,2009,Epitestosterone,2 years,[13][32][112],1
1839,Alina Gherasim (Alina Tecuţa), Romania,Long distance,2002,Anabolic steroids,2 years,[405],1
1840,Bouchra Ghezielle, France,Middle distance,2008,EPO,4 years,[3][36][45][406],1
1841,Patricia Girard, France,Sprinting,1990,Primobolan (anabolic steroid),2 years,[407] (in Swedish)[1][408],1
1842,Sandra Glover, United States,Sprinting,2003,Modafinil,Disqualification and public warning,[321],1
1843,Geronimo Goeloe, Netherlands Antilles,Sprinting,2008,Stanozolol,2 years,[3][36][409],1
1844,Thomas Goller, Germany,Hurdling,2010,"Boldenone, SARMs",2 years,[32][410],1
1845,Olga Golovkina, Russia,Long distance,2013,Dehydrochloromethyltestosterone,2 years,[34][207],1
1846,Vanda Gomes, Brazil,Sprinting,2014,Anastrozole,2 years,[69][70][411],1
1847,Yekaterina Gordiyenko, Soviet Union,Pentathlon,1978,Anabolic steroids,18 months,[2][412],1
1848,Agnieszka Gortel-Maciuk, Poland,Marathon/Half marathon,2013,"Testosterone, DHEA",2 years,[100][329],1
1849,Anastasios Gousis, Greece,Sprinting,2008,Methyltrienolone,2 years,[3][36][413],1
1850,Abderrahim Goumri, Morocco,Marathon,2009,Biological passport,4 years,[13][79],1
1851,Eva-Maria Gradwohl, Austria,Long distance,2010,Refusal to submit to doping control,2 years,[32][414],1
1852,Stephanie Graf, Austria,Middle distance,2003,Attempted use of a prohibited method (Humanplasma scandal),2 years,[32][83],1
1853,Trevor Graham, United States,Coach,,"Possession, trafficking, and administration of performance-enhancing drugs, and assisting, encouraging, aiding and abetting anti-doping rule violations",Life ban,[3][415][416],1
1854,Mike Gravelle, United States,Discus throw,1995,Testosterone,,[417],1
1855,Rob Gray, Canada,Discus throw,,Self admittance: Anabolic Steroids,Lost national record,[1][318],1
1856,Bill Green, United States,Hammer throw,1987,Testosterone,2 years,[1][418],1
1857,Yelizaveta Grechishnikova, Russia,Long distance,2009,Biological passport,2 years,[13][113][145],1
1858,Anri Grigorov, Bulgaria,Sprinting,1990,,,[1],1
1859,Lidiya Grigoryeva, Russia,Long distance,2009,Biological passport,2 years and 6 months,[17][88],1
1860,Yekaterina Grigoryeva (Yekaterina Leshcheva), Russia,Sprinting,2001,,2 years,[13],1
1861,Nataliya Grygoryeva, Soviet Union,Hurdling,,,,[24],1
1862,Mickey Grimes, United States,Sprinting,20032004,Ephedrine Norandrosterone,Public warning 2 years,[98][321][419],1
1863,Yelena Gulyayeva, Russia,High jump,1991,,2 years,[420],1
1864,Anna Gurova, Russia,Sprinting,2011,Methyltestosterone,2 years,[79][86],1
1865,Andreas Gustafsson, Sweden,Race walk,2014,EPO,2 years,[34][116][421],1
1866,Abdelhadi Habassa, Morocco,Long distance,2008,Norandrosterone,2 years,[3][36][422],1
1867,Milan Haborák, Slovakia,Shot put,20042010,Hormones  Stanozolol,2 years  Life ban,[32][423][424],1
1868,Abdelkader Hachlaf, Morocco,Middle distance,2004,EPO,2 years,[45][98][425],1
1869,Halima Hachlaf, Morocco,Long-distance,2013,Biological passport,4 years,[30][35],1
1870,Mohamed El Hachimi, Morocco,Long distance,2014,CERA,6 years,[69][70],1
1871,Semoy Hackett, Trinidad and Tobago,Sprinting,20112012,MethylhexaneamineMethylhexaneamine,6 months2 years and 4 months,[13][175][426][427],1
1872,Mohammad Noor Imran Abdul Hadi, Malaysia,Sprinting,2011,Evading doping control,2 years,[13][30][253],1
1873,Vésteinn Hafsteinsson, Iceland,Discus throw,1984,Nandrolone,2 years,[428],1
1874,Linda Haglund, Sweden,Sprinting,1981,Anabolic steroids,18 months,[429],1
1875,Abdellah Haidane, Italy,Middle distance,2014,Tuaminoheptane,4 months,[430][431],1
1876,Fatima Hajjami, France,Long distance,2003,Stanozolol,2 years,[321],1
1877,Fani Halkia, Greece,Hurdling,2008,Methyltrienolone,2 years,[3][432][433][434],1
1878,Hussain Al-Hamdah, Saudi Arabia,Long distance,2009,Biological passport,2 years and 6 months,[13][329][435],1
1879,Tetyana Hamera-Shmyrko, Ukraine,Long distance,2011,Biological passport,4 years,[159][436],1
1880,Tahesia Harrigan-Scott, British Virgin Islands,Sprinting,2011,Methylhexaneamine,6 months,[10][437],1
1881,Alvin Harrison, United States,Sprinting,2004,"BALCO scandal: Anabolic steroids, insulin, HgH, EPO, modafinil",4 years,[98][438],1
1882,Calvin Harrison, United States,Sprinting,19932003,PseudoephedrineModafinil,3 months2 years,[13][321][438],1
1883,Ridouane Harroufi, Morocco,Long distance,2013,EPO,2 years,[30][439],1
1884,Barakat Al-Harthi, Oman,Sprinting,2011,Methylprednisolone,6 months,[40][440],1
1885,Kjell Ove Hauge, Norway,"Discus throw, shot put",1998,Metandienone,18 months,[61] (in Norwegian)[441][442],1
1886,Ahmad Hazer, Lebanon,110 m hurdles,2013,Metenolone,2 years,[30][113],1
1887,Floyd Heard, United States,Sprinting,2000,,Public warning,[89],1
1888,Sabine Heitling, Brazil,Steeplechase,2013,Methylhexaneamine,1 year,[14][30],1
1889,Eddy Hellebuyck, United States,Long distance,2004,EPO,2 years,[98][443],1
1890,Anca Heltne, Romania,Shot put,20102014,"StanozololMethandienone, Dehydrochloromethyltestosterone",2 years8 years,[32][45][354][444],1
1891,Geraldine Hendricken, Ireland,Middle distanceCross country,2004,19-norandrosterone,2 years,[321][445][446],1
1892,Adriënne Herzog, Netherlands,Long distance,2014,Testosterone,2 years,[447][448][449],1
1893,Iván Hierro, Spain,Long distance,2014,Possession of a prohibited substance,2 years,[55][56],1
1894,Claus Hirsbro, Denmark,Sprinting,19962000,StanozololNandrolon,2 years  Life ban,[89][450],1
1895,Hassan Hirt, France,Long distance,2012,EPO,2 years,[87][451],1
1896,Knut Hjeltnes, Norway,"Discus throw, shot put",1977,Anabolic steroids,1 year,[61] (in Norwegian),1
1897,Gergely Horváth, Hungary,Javelin throw,2006,Boldenone,2 years,[452][453],1
1898,Hristoforos Hoidis, Greece,Sprinting,2005,Tamoxiphen,2 years,[271][454],1
1899,Seppo Hovinen, Finland,Javelin throw,1977,Anabolic steroids,1 year,[455][456],1
1900,Sue Howland, Australia,Javelin throw,1987,Anabolic steroids,2 years,[1][457][458],1
1901,Yu-Fang Hsu, Chinese Taipei,Marathon,2011,EPO,2 years,[21][79],1
1902,Huang Qun, China,Discus throw,2006,Stanozolol,2 years,[19][459],1
1903,C.J. Hunter, United States,Shot put,2000,Nandrolone,2 years,[102],1
1904,Liza Hunter-Galvan, New Zealand,Marathon,2009,EPO,2 years,[36][37][460],1
1905,Marwa Hussein, Egypt,Hammer throw,2010,Stanozolol,Two-year ban,[10][112][461],1
1906,Victor Hogan, South Africa,Discus throw,2016,Methylhexanamine,9 month ban,[462][463],1
1907,Nunu Abashidze, Soviet Union,Shot put,1981,,,[1][2],1
1908,Ahmed Abd El Raouf, Egypt,Hammer throw,2008,Norandrosterone,2 years,[3][4],1
1909,Inga Abitova, Russia,Long distance,2009,Biological passport anomalies,2 years,[5][6][7],1
1910,Folashade Abugan, Nigeria,Sprinting,2010,Testosterone prohormone,2 years,[8][9][10],1
1911,Ibrahim Mohamed Aden, Somalia,Middle distance,1999,Ephedrine,Public warning,[11][12][13],1
1912,Tosin Adeloye, Nigeria,Sprinting,20122015,Metenolone  Exogenous steroids,2 years  8 years,[14][15][16][17],1
1913,Funke Adeoye, Nigeria,Hammer throw,2007,Ephedrine,Public warning,[3][18][19][20],1
1914,Alessandra Aguilar, Spain,Long distance,2011,,3 months,[21],1
1915,Amina Aït Hammou, Morocco,Middle distance,2008,3 whereabouts failures,1 year,[3][22],1
1916,Seltana Aït Hammou, Morocco,Middle distance,2008,3 whereabouts failures,1 year,[3][23],1
1917,Chioma Ajunwa, Nigeria,"Long jump, sprinting",1992,,4 years,[24][25],1
1918,Esther Akinsulie, Canada,Sprinting,2013,Hydrochlorothiazide,6 months,[26][27][28],1
1919,Ashwini Akkunji, India,Sprinting,2011,Anabolic steroids,2 years,[29],1
1920,Mary Akor Basley, United States,Marathon,2012,Clenbuterol,2 years,[14][30],1
1921,Mikko Ala-Leppilampi, Finland,Long distance,1972,Self admittance of blood transfusions  (not illegal at the time),—,[31],1
1922,Mariem Alaoui Selsouli, Morocco,Middle distance,2009 2012,EPOFurosemide,2 years  8 years,[13][32][33][34][35],1
1923,Sultan Al-Dawoodi, Saudi Arabia,Discus throw,2009,Norandrosterone,2 years,[36][37],1
1924,Denis Alekseyev, Russia,Sprinting,2013,Dehydrochloromethyltestosterone,2 years,[38][39],1
1925,Barakat Al-Harthi, Oman,Sprinting,2011,Methylprednisolone,6 months,[40][41],1
